Country,Year,Month,Event
India,2020,February,Civil unrest
India,2017,August,Civil unrest
India,2013,August,Civil unrest
India,2006,May,Civil unrest
India,2002,February,Civil unrest
India,2003,February,Civil unrest
India,2011,April,Civil unrest
India,2015,June,Civil unrest
India,2014,September,Civil unrest
India,2016,February,Civil unrest
India,2018,August,Flood
India,2017,August,Flood
India,2017,July,Flood
India,2017,July,Flood
India,2017,August,Flood
India,2017,July,Flood
India,2016,July,Flood
India,2015,November,Flood
India,2015,June,Flood
India,2015,August,Flood
India,2014,September,Flood
India,2007,August,Flood
India,2008,August,Flood
India,2019,May,Attack
India,2019,February,Attack
India,2018,March,Attack
India,2018,February,Attack
India,2017,July,Attack
India,2017,April,Attack
India,2016,September,Attack
India,2016,August,Attack
India,2016,January,Attack
India,2015,July,Attack
India,2015,June,Attack
India,2014,December,Attack
India,2014,May,Attack
India,2014,May,Attack
India,2014,April,Attack
India,2014,March,Attack
India,2018,May,Disease outbreak
India,2002,February,Disease outbreak
India,2017,May,Disease outbreak
India,2006,February,Disease outbreak
India,2006,February,Disease outbreak
India,2005,July,Disease outbreak
India,2005,March,Disease outbreak
India,2003,June,Disease outbreak
India,2003,April,Disease outbreak
India,2001,July,Disease outbreak
China,2019,October,Civil unrest
China,2011,September,Civil unrest
China,2008,March,Civil unrest
China,2009,July,Civil unrest
China,2008,March,Civil unrest
China,2012,June,Civil unrest
China,2011,November,Civil unrest
China,2011,March,Civil unrest
China,2010,January,Civil unrest
China,2008,June,Civil unrest
China,2020,January,Disease outbreak
China,2018,February,Disease outbreak
China,2016,January,Disease outbreak
China,2016,April,Disease outbreak
China,2016,March,Disease outbreak
China,2017,January,Disease outbreak
China,2015,January,Disease outbreak
China,2015,January,Disease outbreak
China,2014,January,Disease outbreak
China,2014,December,Disease outbreak
China,2019,July,Flood
China,2018,July,Flood
China,2018,June,Flood
China,2017,June,Flood
China,2017,June,Flood
China,2016,July,Flood
China,2015,June,Flood
China,2015,June,Flood
China,2013,July,Flood
China,2013,July,Flood
China,2016,December,Attack
China,2015,June,Attack
China,2014,March,Attack
China,2013,October,Attack
China,2013,April,Attack
China,2011,July,Attack
China,2002,April,Attack
China,2001,March,Attack
China,2007,January,Attack
China,2008,August,Attack
